Trade Date,Market Code,Transaction Type,Instrument Code,Comments,Quantity,Price,Amount
17/10/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00196629,97.82,0.19234283
17/10/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.0134482,19.07,0.25645711
17/10/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00059886,578.1301,0.34621708
19/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00066277,61.62,0.04083971
20/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00117569,60.92,0.07162309
27/10/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01219853,50.17,0.612
27/10/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.03046208,62.11,1.892
27/10/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.22217027,72.719,16.156
27/10/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00553135,98.71,0.546
27/10/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04150549,19.13,0.794
10/11/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.02426661,50.11,1.216
10/11/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.20733133,63.29,13.122
10/11/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.00516548,77.05,0.398
10/11/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.01129065,99.02,1.118
10/11/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.08880753,19.12,1.698
10/11/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00419002,584.2459,2.44800002
17/11/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00076748,64.8558,0.04977533
24/11/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.03240981,50.17,1.626
24/11/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.1630247,65.99,10.758
24/11/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.01166687,81.77,0.954
24/11/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.0219315,68.03,1.492
24/11/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.0137071,100.24,1.374
24/11/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.10166147,19.26,1.958
24/11/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00306359,599.9502,1.83799999
08/12/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01428882,50.1091,0.716
08/12/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.22966595,65.26,14.988
08/12/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.01709527,68.44,1.17
08/12/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00320866,101.6,0.326
08/12/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.03332202,19.4466,0.648
08/12/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.05509473,39.06,2.152
21/12/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00093201,64.8,0.0603944
22/12/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01008772,50.16,0.506
22/12/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.20181371,65.06,13.13
22/12/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.01613477,85.4056,1.378
22/12/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.02393664,68.18,1.632
22/12/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00955051,99.89,0.954
22/12/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.03826715,19.39,0.742
22/12/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.04299793,38.56,1.658
05/01/2023,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01070074,50.09,0.536
05/01/2023,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.23996865,63.8,15.31
05/01/2023,ASX,BUY,IEU,iShares Europe ETF (IEU),0.0143583,68.5318,0.984
05/01/2023,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00598935,99.51,0.596
05/01/2023,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.03830129,19.3205,0.74
05/01/2023,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.04884154,37.55,1.834
06/01/2023,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.0018286,50.105,0.09162185
06/01/2023,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.02576462,64.01,1.64919329
06/01/2023,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.00798373,89.8959,0.71770449
